Area,Year,Population,ViolentCrime,Murder,Rape,Rape Reported,Robbery,AggrAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Region
North Carolina,2016,56209510,178244,1955,16651,12219,53033,106605,909897,142720,709721,57456,Southeast
Connecticut,2016,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107,Northeast
Maine,2016,1331479,1648,20,412,300,266,950,21912,4003,17134,775,Northeast
Massachusetts,2016,6811779,25677,134,2128,1592,5365,18050,106339,19193,79088,8058,Northeast
New Hampshire,2016,1334795,2637,17,582,423,427,1611,20194,2963,16360,871,Northeast
Rhode Island,2016,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596,Northeast
Vermont,2016,624594,989,14,178,124,106,691,10602,2103,8217,282,Northeast
New Jersey,2016,8944469,21914,372,1453,1089,8984,11105,138152,25284,101540,11328,Northeast
New York,2016,19745289,74285,630,6260,4569,22316,45079,305181,39821,252669,12691,Northeast
Pennsylvania,2016,12784227,42447,661,4433,3233,12326,23027,222795,35520,172527,14748,Northeast
Illinois,2016,12859995,55869,941,5161,3703,18635,27565,403774,46402,331833,25539,Midwest
Indiana,2016,6633053,24827,439,2631,1761,6168,15489,178727,33322,130575,14830,Midwest
Michigan,2016,9928301,40298,570,4765,3304,9845,22118,230838,39704,180417,10717,Midwest
Ohio,2016,11614373,36580,703,5014,3541,9144,21219,297726,59651,223682,14407,Midwest
Wisconsin,2016,5779076,24347,30,4675,2587,9181,22499,147591,23940,134414,3237,Midwest
Iowa,2016,3123899,9225,66,1268,809,2044,6038,66892,13814,51092,1986,Midwest
Kansas,2016,2907289,11544,148,1252,952,3476,5668,72290,13292,56373,2625,Midwest
Minnesota,2016,5506369,12654,104,1937,1309,3834,6770,101865,15080,81158,4627,Midwest
Missouri,2016,6093000,31644,537,2554,1884,6570,21983,170549,31710,120544,18295,Midwest
Nebraska,2016,1907116,5550,49,994,738,946,3561,43163,6444,31994,4725,Midwest
North Dakota,2015,756835,1949,21,391,285,159,1378,17716,3296,12686,1734,Midwest
South Dakota,2016,865454,3621,27,509,379,272,2813,17141,3000,12639,1502,Midwest
California,2016,39250017,193792,1930,16896,10741,57030,114225,1031935,176530,949366,93439,West
Delaware,2016,952065,5126,48,469,305,960,3344,42259,7795,30000,2464,Northeast
District of Columbia,2016,681170,8107,135,869,238,3855,4950,36268,4966,28943,4359,
Florida,2016,20612439,88700,1111,7598,5528,20175,59816,553812,100325,410352,43135,Southeast
Georgia,2016,10310371,40990,681,3509,2528,12205,24595,309770,63344,219625,26801,Southeast
Maryland,2016,6016447,28400,481,1756,1266,10289,15874,137445,24692,100919,11834,Northeast
South Carolina,2016,4961119,24896,366,2387,1711,4035,18108,160928,32976,114032,13920,Southeast
Virginia,2016,8411808,18302,484,2737,1965,4803,10278,156412,20018,126606,9788,Southeast
West Virginia,2016,1831102,6557,81,657,468,720,5099,37487,9301,25677,2509,Southeast
Alabama,2016,4863300,25886,407,1916,1385,4686,18877,143362,34065,97574,11723,Southeast
Kentucky,2016,4436974,10308,260,1641,1174,3369,5038,97158,20834,66438,9886,Southeast
Mississippi,2016,2988726,8383,238,1277,905,2397,4471,82732,23354,55054,4324,South
Tennessee,2016,6651194,42097,486,2714,1991,7813,31084,189835,40312,134404,15119,Southeast
Arkansas,2016,2988248,16461,216,2143,1545,2120,11982,97673,23771,66747,7155,South
Louisiana,2016,4681666,26502,554,1816,1328,5576,18556,154386,34667,109380,10339,South
Oklahoma,2016,3923561,17648,245,2039,1509,3162,12202,117037,29103,75779,12155,South
Texas,2016,27862596,121042,1478,13367,9858,33317,72880,768947,148740,551151,69056,South
Arizona,2016,6931071,32583,380,3290,2452,7055,21858,206432,37736,150275,18421,West
Colorado,2016,5540545,18983,204,3555,2619,3528,11696,151850,23903,108336,19611,West
Idaho,2016,1683140,3876,49,719,529,213,2895,29357,6318,20962,2077,West
Montana,2016,1042520,3840,36,578,414,266,2960,27976,3934,21299,2743,West
Nevada,2016,2940058,19936,224,1733,1292,6340,11639,76047,18850,44017,13180,West
New Mexico,2016,2081015,14619,139,1526,1117,2737,10217,81931,17281,52907,11743,West
Utah,2016,3051217,7407,72,1520,1116,1541,4274,90058,12836,67834,9388,West
Wyoming,2016,585501,1430,20,205,150,59,1146,11460,1771,8889,800,West
Alaska,2016,741894,5966,52,1053,757,850,4011,24876,4053,17766,3057,West
Hawaii,2016,1428557,4417,35,619,447,994,2769,42753,6017,31082,5654,West
Oregon,2016,4093465,10830,113,1721,1261,2278,6718,121345,16866,91286,13193,West
Washington,2016,7288000,22023,195,3077,2259,5651,13100,254653,49180,173187,32286,West
Puerto Rico,2016,3411307,7643,679,169,128,3201,3594,35201,8251,23163,3787,Island
